,Date,ID,simp_move_avg_market_cap_ror,Symbol,market_cap
4,2022-01-02,cardano,-0.023471235513259824,ada,44200479605.33392
3,2022-01-02,solana,-0.020415533963468006,sol,55089640249.09666
2,2022-01-02,bitcoin,-0.016053532056337375,btc,904551946917.3206
1,2022-01-02,litecoin,-0.015036681033316648,ltc,10473638674.044128
0,2022-01-02,ripple,-0.011719507927524641,xrp,40453081982.45346
8,2022-01-03,ethereum,-0.008993225482661014,eth,456852400304.9327
7,2022-01-03,cardano,-0.008403980363550086,ada,44292070955.55458
6,2022-01-03,ripple,-0.007819769972839792,xrp,40928936335.45811
5,2022-01-03,litecoin,-0.006555341420207505,ltc,10523239230.89384
11,2022-01-13,cardano,-0.007073339408294542,ada,41891466165.21188
10,2022-01-13,litecoin,-0.0060099451701260765,ltc,9837832315.498312
9,2022-01-13,ripple,-0.004471301100932815,xrp,38156686082.61434
16,2022-01-15,litecoin,-0.014281447975460135,ltc,10046271921.893805
15,2022-01-15,solana,-0.010368016286659303,sol,45849250868.07178
14,2022-01-15,cardano,-0.008119236593872288,ada,41149779253.900505
13,2022-01-15,bitcoin,-0.005045570064383688,btc,816129314317.4397
12,2022-01-15,ethereum,-0.00499510505045974,eth,394664610644.9952
22,2022-01-16,litecoin,-0.018563433356900413,ltc,10252242788.856188
21,2022-01-16,cardano,-0.012095030170489001,ada,41629341033.15005
20,2022-01-16,ethereum,-0.01006428013982804,eth,396899234936.6389
19,2022-01-16,ripple,-0.0058361794713199305,xrp,37238112155.95848
18,2022-01-16,solana,-0.005262517391673593,sol,46337099650.87288
17,2022-01-16,bitcoin,-0.00422874814833464,btc,816800318526.6782
28,2022-01-17,cardano,-0.02754867654703148,ada,45306926785.96513
27,2022-01-17,litecoin,-0.01620323442622666,ltc,10179268203.722364
26,2022-01-17,ethereum,-0.009178184359458249,eth,400232172277.67896
25,2022-01-17,solana,-0.00822251647861023,sol,46450557289.26664
24,2022-01-17,ripple,-0.004904227768572684,xrp,37152076627.061
23,2022-01-17,bitcoin,-0.004346146675545808,btc,816325578941.135
34,2022-01-18,cardano,-0.04882655262822834,ada,50522872800.3961
