,id,symbol,name
0,01coin,zoc,01coin
1,0-5x-long-algorand-token,algohalf,0.5X Long Algorand
2,0-5x-long-altcoin-index-token,althalf,0.5X Long Altcoin Index
3,0-5x-long-ascendex-token-token,asdhalf,0.5X Long AscendEx
4,0-5x-long-bitcoin-cash-token,bchhalf,0.5X Long Bitcoin Cash
5,0-5x-long-bitcoin-token,half,0.5X Long Bitcoin
6,0-5x-long-cardano-token,adahalf,0.5X Long Cardano
7,0-5x-long-chainlink-token,linkhalf,0.5X Long Chainlink
8,0-5x-long-cosmos-token,atomhalf,0.5X Long Cosmos
9,0-5x-long-dogecoin-token,dogehalf,0.5X Long Dogecoin
10,0-5x-long-eos-token,eoshalf,0.5X Long EOS
11,0-5x-long-ethereum-classic-token,etchalf,0.5X Long Ethereum Classic
12,0-5x-long-ethereum-token,ethhalf,0.5X Long Ethereum
13,0-5x-long-kyber-network-token,knchalf,0.5X Long Kyber Network
14,0-5x-long-matic-token,matichalf,0.5X Long Matic Token
15,0-5x-long-privacy-index-token,privhalf,0.5X Long Privacy Index
16,0-5x-long-swipe-token,sxphalf,0.5X Long Swipe
17,0-5x-long-theta-network-token,thetahalf,0.5X Long Theta Network
18,0-5x-long-xrp-token,xrphalf,0.5X Long XRP Token
19,0cash,zch,0cash
20,0chain,zcn,0chain
21,0-mee,ome,O-Mee
22,0x,zrx,0x
23,0xcert,zxc,0xcert
24,0xdao,oxd,0xDAO
25,0xdao-v2,oxd v2,0xDAO V2
26,0xmonero,0xmr,0xMonero
27,0xpad,0xpad,0xPAD
28,0x-wormhole,zrx,0x (Wormhole)
29,10024-10028-appoline,realt-s-10024-10028-appoline-st-detroit-mi,"RealT -10024-10028 Appoline St, Detroit, MI 48227"
30,10084-grayton,realt-s-10084-grayton-st-detroit-mi,"RealT - 10084 Grayton St, Detroit, MI 48224"
31,100-days-ventures,astro,100 Days Ventures
32,100x-coin,100x,100xCoin
