,Date,ID,Symbol,market_cap
0,2022-03-01,bitcoin,btc,819019441071.749
1,2022-03-02,bitcoin,btc,841254375272.0455
2,2022-03-03,bitcoin,btc,834437956671.6672
3,2022-03-04,bitcoin,btc,807454920681.7217
4,2022-03-05,bitcoin,btc,743810477766.2219
5,2022-03-06,bitcoin,btc,748197160856.1006
6,2022-03-07,bitcoin,btc,729501899968.2964
7,2022-03-08,bitcoin,btc,723198804467.6718
8,2022-03-09,bitcoin,btc,735453953725.9198
9,2022-03-10,bitcoin,btc,796849504897.2562
10,2022-03-11,bitcoin,btc,749384110700.1091
11,2022-03-12,bitcoin,btc,738267961692.6816
12,2022-03-13,bitcoin,btc,738456528057.6692
13,2022-03-14,bitcoin,btc,718551088031.3688
14,2022-03-15,bitcoin,btc,751354026218.9767
15,2022-03-16,bitcoin,btc,747642430663.595
16,2022-03-17,bitcoin,btc,779761001844.4108
17,2022-03-18,bitcoin,btc,778474325709.8895
18,2022-03-19,bitcoin,btc,794378970588.3145
19,2022-03-20,bitcoin,btc,800887993391.0255
20,2022-03-21,bitcoin,btc,784054464871.6631
21,2022-03-22,bitcoin,btc,779205413378.8728
22,2022-03-23,bitcoin,btc,803937099701.4115
23,2022-03-24,bitcoin,btc,810894331277.664
24,2022-03-25,bitcoin,btc,834251096724.507
25,2022-03-26,bitcoin,btc,842031938721.7855
26,2022-03-27,bitcoin,btc,845235093872.7649
27,2022-03-28,bitcoin,btc,887283025181.1342
28,2022-03-29,bitcoin,btc,892747620147.7012
29,2022-03-30,bitcoin,btc,901430001888.9999
30,2022-03-31,bitcoin,btc,895356010540.8462
