,Date,ID,Symbol,market_cap
0,2021-05-01,ethereum,eth,321155845972.33514
1,2021-05-02,ethereum,eth,340730211563.77893
2,2021-05-03,ethereum,eth,341953594507.36664
3,2021-05-04,ethereum,eth,398258027094.341
4,2021-05-05,ethereum,eth,380565712269.779
5,2021-05-06,ethereum,eth,409191426695.66266
6,2021-05-07,ethereum,eth,405355930465.5294
7,2021-05-08,ethereum,eth,404284565609.95483
8,2021-05-09,ethereum,eth,450716254202.56744
9,2021-05-10,ethereum,eth,455448294000.9345
10,2021-05-11,ethereum,eth,461040789541.05756
11,2021-05-12,ethereum,eth,481380994613.09344
12,2021-05-13,ethereum,eth,465647015108.638
13,2021-05-14,ethereum,eth,431105320829.47766
14,2021-05-15,ethereum,eth,473724804234.6842
15,2021-05-16,ethereum,eth,425715131137.06134
16,2021-05-17,ethereum,eth,414265118099.5364
17,2021-05-18,ethereum,eth,381161976477.9278
18,2021-05-19,ethereum,eth,390227141901.1161
19,2021-05-20,ethereum,eth,295232973801.7795
20,2021-05-21,ethereum,eth,322162621074.79614
21,2021-05-22,ethereum,eth,279623071718.589
22,2021-05-23,ethereum,eth,268503273693.00333
23,2021-05-24,ethereum,eth,244070264760.92874
24,2021-05-25,ethereum,eth,306046123107.58295
25,2021-05-26,ethereum,eth,312566215516.573
26,2021-05-27,ethereum,eth,334435114557.1313
27,2021-05-28,ethereum,eth,319404492002.5219
28,2021-05-29,ethereum,eth,282228507934.91974
29,2021-05-30,ethereum,eth,268672927561.12476
30,2021-05-31,ethereum,eth,278270782653.56213
31,2021-06-01,ethereum,eth,314463232386.7883
32,2021-06-02,ethereum,eth,306488816882.1444
33,2021-06-03,ethereum,eth,315313344228.8267
34,2021-06-04,ethereum,eth,333964598115.05035
35,2021-06-05,ethereum,eth,312991097366.8545
36,2021-06-06,ethereum,eth,302743417251.8253
37,2021-06-07,ethereum,eth,315044778229.29706
38,2021-06-08,ethereum,eth,299857516850.1987
39,2021-06-09,ethereum,eth,294068580258.7281
40,2021-06-10,ethereum,eth,304761367058.1624
41,2021-06-11,ethereum,eth,289444120869.42664
42,2021-06-12,ethereum,eth,272748408238.43475
43,2021-06-13,ethereum,eth,278223731471.048
44,2021-06-14,ethereum,eth,292767118262.08405
45,2021-06-15,ethereum,eth,300405113218.4146
46,2021-06-16,ethereum,eth,298324322330.12646
47,2021-06-17,ethereum,eth,274666655404.67456
48,2021-06-18,ethereum,eth,275415199641.5411
49,2021-06-19,ethereum,eth,260039646334.19235
50,2021-06-20,ethereum,eth,253396709038.79898
51,2021-06-21,ethereum,eth,261478202409.18997
52,2021-06-22,ethereum,eth,223202708788.72086
53,2021-06-23,ethereum,eth,216876757208.59253
54,2021-06-24,ethereum,eth,229518675836.76538
55,2021-06-25,ethereum,eth,231644258719.40115
56,2021-06-26,ethereum,eth,213871849531.6296
57,2021-06-27,ethereum,eth,209989265221.48502
58,2021-06-28,ethereum,eth,229354016311.0035
59,2021-06-29,ethereum,eth,243040539437.43396
60,2021-06-30,ethereum,eth,253607549372.41992
