,Date,ID,Symbol,market_cap
0,2021-01-01,ripple,xrp,9986921049.346117
1,2021-01-02,ripple,xrp,10785755952.896763
2,2021-01-03,ripple,xrp,10066602632.999481
3,2021-01-04,ripple,xrp,10455111151.166016
4,2021-01-05,ripple,xrp,10578255930.15237
5,2021-01-06,ripple,xrp,10299283152.408031
6,2021-01-07,ripple,xrp,11458017061.61058
7,2021-01-08,ripple,xrp,14783360785.307053
8,2021-01-09,ripple,xrp,14620012702.672577
9,2021-01-10,ripple,xrp,14981088874.901352
10,2021-01-11,ripple,xrp,14491113587.04244
11,2021-01-12,ripple,xrp,13238979457.402128
12,2021-01-13,ripple,xrp,13344731547.471989
13,2021-01-14,ripple,xrp,13957393308.172102
14,2021-01-15,ripple,xrp,13478198579.22908
15,2021-01-16,ripple,xrp,12758648527.012667
16,2021-01-17,ripple,xrp,12752821363.443003
17,2021-01-18,ripple,xrp,12608874407.39614
18,2021-01-19,ripple,xrp,12954366484.188166
19,2021-01-20,ripple,xrp,13433997245.77599
20,2021-01-21,ripple,xrp,13484155008.268005
21,2021-01-22,ripple,xrp,12251471331.286976
22,2021-01-23,ripple,xrp,12348108563.326498
23,2021-01-24,ripple,xrp,12353173876.273672
24,2021-01-25,ripple,xrp,12456245392.6549
25,2021-01-26,ripple,xrp,12239551031.522264
26,2021-01-27,ripple,xrp,12218188875.589693
27,2021-01-28,ripple,xrp,11407608804.15268
28,2021-01-29,ripple,xrp,12118698621.825148
29,2021-01-30,ripple,xrp,12853353143.140347
30,2021-01-31,ripple,xrp,19215011544.534508
31,2021-02-01,ripple,xrp,22460670801.01922
32,2021-02-02,ripple,xrp,16887446178.179226
33,2021-02-03,ripple,xrp,17039497521.900589
34,2021-02-04,ripple,xrp,17945935420.571823
35,2021-02-05,ripple,xrp,20405940224.787098
36,2021-02-06,ripple,xrp,20535328839.092148
37,2021-02-07,ripple,xrp,20205229008.6856
38,2021-02-08,ripple,xrp,19158415883.033073
39,2021-02-09,ripple,xrp,20468514863.339752
40,2021-02-10,ripple,xrp,21583065336.769062
41,2021-02-11,ripple,xrp,22982765730.237637
42,2021-02-12,ripple,xrp,23856145163.797523
43,2021-02-13,ripple,xrp,27960966907.84191
44,2021-02-14,ripple,xrp,28721338583.23619
45,2021-02-15,ripple,xrp,27087614068.25724
46,2021-02-16,ripple,xrp,25026313241.817905
47,2021-02-17,ripple,xrp,23858413182.24458
48,2021-02-18,ripple,xrp,24600084027.406086
49,2021-02-19,ripple,xrp,24401068320.804165
50,2021-02-20,ripple,xrp,26073015135.898396
51,2021-02-21,ripple,xrp,23657760929.564903
52,2021-02-22,ripple,xrp,25191390487.04061
53,2021-02-23,ripple,xrp,26315783830.375607
54,2021-02-24,ripple,xrp,21616170566.952755
55,2021-02-25,ripple,xrp,21552614418.590008
56,2021-02-26,ripple,xrp,19755041198.644775
57,2021-02-27,ripple,xrp,19740260345.517567
58,2021-02-28,ripple,xrp,20027896981.23032
