,Date,ID,Symbol,market_cap
0,2022-04-01,solana,sol,40036171559.14788
1,2022-04-02,solana,sol,43736096533.81698
2,2022-04-03,solana,sol,43260457424.49813
3,2022-04-04,solana,sol,44426659281.57661
4,2022-04-05,solana,sol,43072219169.516655
5,2022-04-06,solana,sol,41374924383.733
6,2022-04-07,solana,sol,36929750315.179565
7,2022-04-08,solana,sol,38892547341.88895
8,2022-04-09,solana,sol,35663008069.967834
9,2022-04-10,solana,sol,37007525656.87938
10,2022-04-11,solana,sol,36884144376.64433
11,2022-04-12,solana,sol,32731502385.0518
12,2022-04-13,solana,sol,33941121649.55018
13,2022-04-14,solana,sol,34394710741.73072
14,2022-04-15,solana,sol,33098172133.64845
15,2022-04-16,solana,sol,33734041429.04125
16,2022-04-17,solana,sol,34194983211.01313
17,2022-04-18,solana,sol,33314012331.385365
18,2022-04-19,solana,sol,34026715047.300804
19,2022-04-20,solana,sol,36133130809.64366
20,2022-04-21,solana,sol,35158424198.86379
21,2022-04-22,solana,sol,33918138036.798676
22,2022-04-23,solana,sol,33613226147.45872
23,2022-04-24,solana,sol,33668501950.9363
24,2022-04-25,solana,sol,33192811336.931053
25,2022-04-26,solana,sol,33812175574.169964
26,2022-04-27,solana,sol,31900244698.208424
27,2022-04-28,solana,sol,32839728894.8058
28,2022-04-29,solana,sol,32699186204.272743
29,2022-04-30,solana,sol,31459421205.330902
30,2022-05-01,solana,sol,28318851858.6442
31,2022-05-02,solana,sol,30026659597.990982
32,2022-05-03,solana,sol,29293697485.51745
33,2022-05-04,solana,sol,28715318659.659317
34,2022-05-05,solana,sol,30994771499.55642
35,2022-05-06,solana,sol,28284214619.368317
36,2022-05-07,solana,sol,27380670118.60705
37,2022-05-08,solana,sol,26603063057.69169
38,2022-05-09,solana,sol,25191538889.48352
39,2022-05-10,solana,sol,21563497316.93072
40,2022-05-11,solana,sol,22405510212.754276
41,2022-05-12,solana,sol,16302314327.382017
42,2022-05-13,solana,sol,15038211406.02383
43,2022-05-14,solana,sol,16446880063.642275
44,2022-05-15,solana,sol,17710082184.40001
45,2022-05-16,solana,sol,19795956495.33785
46,2022-05-17,solana,sol,18091955633.77028
47,2022-05-18,solana,sol,19373241293.241146
48,2022-05-19,solana,sol,16804431123.837723
49,2022-05-20,solana,sol,17743141448.602818
50,2022-05-21,solana,sol,16857955013.649868
51,2022-05-22,solana,sol,17117178967.638582
52,2022-05-23,solana,sol,17927983077.406696
53,2022-05-24,solana,sol,16667943417.370811
54,2022-05-25,solana,sol,16838184202.890331
55,2022-05-26,solana,sol,16335715467.127663
56,2022-05-27,solana,sol,14806873946.379969
57,2022-05-28,solana,sol,13886425335.92009
58,2022-05-29,solana,sol,15147901018.996235
59,2022-05-30,solana,sol,15240706243.752535
60,2022-05-31,solana,sol,16054338780.311176
61,2022-06-01,solana,sol,15607744325.008366
62,2022-06-02,solana,sol,13719294294.809011
63,2022-06-03,solana,sol,13925500009.440636
64,2022-06-04,solana,sol,12945160667.449034
65,2022-06-05,solana,sol,13170913879.692818
66,2022-06-06,solana,sol,13116723564.811241
67,2022-06-07,solana,sol,14456497792.40814
68,2022-06-08,solana,sol,13508568426.035679
