,Date,Symbol,market_cap
0,2022-04-01,bch,7303136977.6594715
1,2022-04-02,bch,7154450423.636449
2,2022-04-03,bch,7105597011.604985
3,2022-04-04,bch,7201794237.213213
4,2022-04-05,bch,7147809495.519597
5,2022-04-06,bch,6982824907.359801
6,2022-04-07,bch,6301842446.939482
7,2022-04-08,bch,6429152203.159953
8,2022-04-09,bch,6126103333.516691
9,2022-04-10,bch,6204124096.081584
10,2022-04-11,bch,6117910791.353552
11,2022-04-12,bch,5615316171.75579
12,2022-04-13,bch,5803920223.098159
13,2022-04-14,bch,6532145592.103602
14,2022-04-15,bch,6426112153.273359
15,2022-04-16,bch,6506503690.276005
16,2022-04-17,bch,6502124157.642481
17,2022-04-18,bch,6258315024.366209
18,2022-04-19,bch,6476525867.187352
19,2022-04-20,bch,6470016394.235256
20,2022-04-21,bch,6295974665.981026
21,2022-04-22,bch,6015277254.460043
22,2022-04-23,bch,6109115548.816813
23,2022-04-24,bch,5980692511.904849
24,2022-04-25,bch,5875834495.838531
25,2022-04-26,bch,5994856826.329014
26,2022-04-27,bch,5639924049.735524
27,2022-04-28,bch,5853678169.97001
28,2022-04-29,bch,5831297491.698362
29,2022-04-30,bch,5617088131.5254755
30,2022-05-01,bch,5327373837.308937
31,2022-05-02,bch,5425409772.823048
32,2022-05-03,bch,5432298344.515383
33,2022-05-04,bch,5326568602.821891
34,2022-05-05,bch,5716373221.089407
35,2022-05-06,bch,5283995298.683895
36,2022-05-07,bch,5255489497.431512
37,2022-05-08,bch,5134827489.998316
38,2022-05-09,bch,4995353896.471897
39,2022-05-10,bch,4261250549.6006494
40,2022-05-11,bch,4424195288.435467
41,2022-05-12,bch,3571216790.193484
42,2022-05-13,bch,3716347645.369439
43,2022-05-14,bch,3846991287.374454
44,2022-05-15,bch,4061761160.287207
45,2022-05-16,bch,4083972637.752754
46,2022-05-17,bch,3764228693.4708943
47,2022-05-18,bch,3941847248.5127583
48,2022-05-19,bch,3615829067.275379
49,2022-05-20,bch,3731421127.4577117
50,2022-05-21,bch,3650802475.019671
51,2022-05-22,bch,3674275763.1234837
52,2022-05-23,bch,3798522218.8540063
53,2022-05-24,bch,3659838009.430247
54,2022-05-25,bch,3731902697.5143113
55,2022-05-26,bch,3641652003.333808
56,2022-05-27,bch,3464172841.5606894
57,2022-05-28,bch,3313051404.745802
58,2022-05-29,bch,3420979005.936726
59,2022-05-30,bch,3538204693.353957
60,2022-05-31,bch,3739783790.1194277
