,Date,Symbol,market_cap
0,2022-04-01,ada,36564438553.58206
1,2022-04-02,ada,37319104972.83728
2,2022-04-03,ada,37298700193.35377
3,2022-04-04,ada,37950775793.778305
4,2022-04-05,ada,38870321080.1152
5,2022-04-06,ada,37632239199.71879
6,2022-04-07,ada,34026993428.76506
7,2022-04-08,ada,35050598645.116776
8,2022-04-09,ada,32831866550.980778
9,2022-04-10,ada,33449118882.30975
10,2022-04-11,ada,33247148814.551537
11,2022-04-12,ada,29698618696.224495
12,2022-04-13,ada,30694294775.110844
13,2022-04-14,ada,31303049352.34989
14,2022-04-15,ada,29929053080.4926
15,2022-04-16,ada,30654197034.917725
16,2022-04-17,ada,30647912429.836426
17,2022-04-18,ada,29413227467.25513
18,2022-04-19,ada,30056554133.196068
19,2022-04-20,ada,30551736663.589764
20,2022-04-21,ada,30042032727.31392
21,2022-04-22,ada,29145834793.02836
22,2022-04-23,ada,29120277968.189747
23,2022-04-24,ada,28579847077.376633
24,2022-04-25,ada,28439931064.51925
25,2022-04-26,ada,28810400546.189293
26,2022-04-27,ada,26572384250.95359
27,2022-04-28,ada,26970724275.016724
28,2022-04-29,ada,27003290038.699406
29,2022-04-30,ada,25935835072.437836
30,2022-05-01,ada,24181808100.757812
31,2022-05-02,ada,25340561982.793995
32,2022-05-03,ada,25069143084.12341
33,2022-05-04,ada,24780988986.160595
34,2022-05-05,ada,28751156734.12401
35,2022-05-06,ada,25432773607.18915
36,2022-05-07,ada,26584156717.79846
37,2022-05-08,ada,25894707553.5098
38,2022-05-09,ada,25075364017.607323
39,2022-05-10,ada,20913667251.20072
40,2022-05-11,ada,21201814151.975883
41,2022-05-12,ada,16938551696.595608
42,2022-05-13,ada,16116047160.540085
43,2022-05-14,ada,17889561170.318428
44,2022-05-15,ada,18236404472.773064
45,2022-05-16,ada,20211047769.939224
46,2022-05-17,ada,18840988244.349674
47,2022-05-18,ada,19627472575.983555
48,2022-05-19,ada,17162201162.922491
49,2022-05-20,ada,18099222175.634266
50,2022-05-21,ada,17533911904.7754
51,2022-05-22,ada,17907559108.18683
52,2022-05-23,ada,18382284485.75812
53,2022-05-24,ada,17359814467.102055
54,2022-05-25,ada,17625461349.811405
55,2022-05-26,ada,17398748801.043335
56,2022-05-27,ada,16364002617.039528
57,2022-05-28,ada,15376990672.242195
58,2022-05-29,ada,15820886950.500496
59,2022-05-30,ada,16291452374.037235
60,2022-05-31,ada,19316903359.66667
