,Date,Symbol,market_cap
0,2022-04-01,eth,394628513775.2061
1,2022-04-02,eth,414854897478.46454
2,2022-04-03,eth,413595262456.1556
3,2022-04-04,eth,423410516389.8548
4,2022-04-05,eth,423367935034.98956
5,2022-04-06,eth,412944890807.9602
6,2022-04-07,eth,382808702033.7895
7,2022-04-08,eth,388867320187.2107
8,2022-04-09,eth,382662893229.3914
9,2022-04-10,eth,392551461530.81824
10,2022-04-11,eth,388982079663.2629
11,2022-04-12,eth,360149250762.0514
12,2022-04-13,eth,365661388410.7189
13,2022-04-14,eth,375767680796.0061
14,2022-04-15,eth,363962080917.9128
15,2022-04-16,eth,366695398817.36127
16,2022-04-17,eth,369787917596.8767
17,2022-04-18,eth,360748880962.95123
18,2022-04-19,eth,368758484169.854
19,2022-04-20,eth,373782979942.61957
20,2022-04-21,eth,370910549448.9755
21,2022-04-22,eth,359917773311.257
22,2022-04-23,eth,357702343019.6129
23,2022-04-24,eth,354358143094.8383
24,2022-04-25,eth,352895958715.2752
25,2022-04-26,eth,362590296737.94165
26,2022-04-27,eth,338098235743.8579
27,2022-04-28,eth,348355348857.35516
28,2022-04-29,eth,353388170472.60077
29,2022-04-30,eth,340291788026.5969
30,2022-05-01,eth,330211251741.10095
31,2022-05-02,eth,341626180826.6119
32,2022-05-03,eth,345080135066.0433
33,2022-05-04,eth,336655132684.7217
34,2022-05-05,eth,355229761723.3485
35,2022-05-06,eth,332103738939.991
36,2022-05-07,eth,325971900416.40796
37,2022-05-08,eth,319030900103.94275
38,2022-05-09,eth,304412453306.29724
39,2022-05-10,eth,271594796946.79037
40,2022-05-11,eth,283082341315.2594
41,2022-05-12,eth,250066823474.8895
42,2022-05-13,eth,238137944005.85858
43,2022-05-14,eth,243391440608.9294
44,2022-05-15,eth,249319115268.20465
45,2022-05-16,eth,259350256988.01163
46,2022-05-17,eth,244741893933.73114
47,2022-05-18,eth,253640825085.77072
48,2022-05-19,eth,232056327519.7834
49,2022-05-20,eth,244359004842.60373
50,2022-05-21,eth,237366807798.8157
51,2022-05-22,eth,239102942424.56775
52,2022-05-23,eth,247730054115.44598
53,2022-05-24,eth,238722810744.1854
54,2022-05-25,eth,239375431792.86758
55,2022-05-26,eth,235347664835.4594
56,2022-05-27,eth,219247293980.15558
57,2022-05-28,eth,208622909553.50162
58,2022-05-29,eth,217791356992.8858
59,2022-05-30,eth,219535934457.98206
60,2022-05-31,eth,241204871683.00946
