,Date,Symbol,market_cap
0,2022-04-01,sol,40036171559.14788
1,2022-04-02,sol,43736096533.81698
2,2022-04-03,sol,43260457424.49813
3,2022-04-04,sol,44426659281.57661
4,2022-04-05,sol,43072219169.516655
5,2022-04-06,sol,41374924383.733
6,2022-04-07,sol,36929750315.179565
7,2022-04-08,sol,38892547341.88895
8,2022-04-09,sol,35663008069.967834
9,2022-04-10,sol,37007525656.87938
10,2022-04-11,sol,36884144376.64433
11,2022-04-12,sol,32731502385.0518
12,2022-04-13,sol,33941121649.55018
13,2022-04-14,sol,34394710741.73072
14,2022-04-15,sol,33098172133.64845
15,2022-04-16,sol,33734041429.04125
16,2022-04-17,sol,34194983211.01313
17,2022-04-18,sol,33314012331.385365
18,2022-04-19,sol,34026715047.300804
19,2022-04-20,sol,36133130809.64366
20,2022-04-21,sol,35158424198.86379
21,2022-04-22,sol,33918138036.798676
22,2022-04-23,sol,33613226147.45872
23,2022-04-24,sol,33668501950.9363
24,2022-04-25,sol,33192811336.931053
25,2022-04-26,sol,33812175574.169964
26,2022-04-27,sol,31900244698.208424
27,2022-04-28,sol,32839728894.8058
28,2022-04-29,sol,32699186204.272743
29,2022-04-30,sol,31459421205.330902
30,2022-05-01,sol,28318851858.6442
31,2022-05-02,sol,30026659597.990982
32,2022-05-03,sol,29293697485.51745
33,2022-05-04,sol,28715318659.659317
34,2022-05-05,sol,30994771499.55642
35,2022-05-06,sol,28284214619.368317
36,2022-05-07,sol,27380670118.60705
37,2022-05-08,sol,26603063057.69169
38,2022-05-09,sol,25191538889.48352
39,2022-05-10,sol,21563497316.93072
40,2022-05-11,sol,22405510212.754276
41,2022-05-12,sol,16302314327.382017
42,2022-05-13,sol,15038211406.02383
43,2022-05-14,sol,16446880063.642275
44,2022-05-15,sol,17710082184.40001
45,2022-05-16,sol,19795956495.33785
46,2022-05-17,sol,18091955633.77028
47,2022-05-18,sol,19373241293.241146
48,2022-05-19,sol,16804431123.837723
49,2022-05-20,sol,17743141448.602818
50,2022-05-21,sol,16857955013.649868
51,2022-05-22,sol,17117178967.638582
52,2022-05-23,sol,17927983077.406696
53,2022-05-24,sol,16667943417.370811
54,2022-05-25,sol,16838184202.890331
55,2022-05-26,sol,16335715467.127663
56,2022-05-27,sol,14806873946.379969
57,2022-05-28,sol,13886425335.92009
58,2022-05-29,sol,15147901018.996235
59,2022-05-30,sol,15240706243.752535
60,2022-05-31,sol,16054338780.311176
