,Date,ID,Symbol,market_cap,momentum_market_cap
0,2021-01-01,bitcoin,btc,539438036435.6701,
0,2021-01-01,bitcoin_cash,bch,0.0,
0,2021-01-01,cardano,ada,5664962992.375575,
0,2021-01-01,ethereum,eth,84037694047.35515,
0,2021-01-01,litecoin,ltc,8232940083.327155,
0,2021-01-01,ripple,xrp,9986921049.346115,
0,2021-01-01,solana,sol,69766796.8517985,
1,2021-01-02,bitcoin,btc,545593282215.2498,6155245780.579712
1,2021-01-02,bitcoin_cash,bch,0.0,0.0
1,2021-01-02,cardano,ada,5459442449.830887,-205520541.54468822
1,2021-01-02,ethereum,eth,83294083323.20639,-743610723.1487579
1,2021-01-02,litecoin,ltc,8330599715.513708,97659633.186553
1,2021-01-02,ripple,xrp,10785755952.896765,798834904.5506496
1,2021-01-02,solana,sol,86318139.65505527,16551343.803256765
2,2021-01-03,bitcoin,btc,597887713053.5825,24198585400.122536
2,2021-01-03,bitcoin_cash,bch,0.0,0.0
2,2021-01-03,cardano,ada,5541071871.348484,-22197367.315226253
2,2021-01-03,ethereum,eth,88595346035.55156,1436504553.2757292
2,2021-01-03,litecoin,ltc,9119719237.682438,368672121.88431054
2,2021-01-03,ripple,xrp,10066602632.99948,326627.8206479787
2,2021-01-03,solana,sol,84086466.39653847,4550222.903185341
3,2021-01-04,bitcoin,btc,613616917625.6967,25061526783.972237
3,2021-01-04,bitcoin_cash,bch,0.0,0.0
3,2021-01-04,cardano,ada,6478554204.432761,121414495.8852223
3,2021-01-04,ethereum,eth,112525376104.65454,6535848036.025367
3,2021-01-04,litecoin,ltc,10564161142.548117,676912760.7614608
3,2021-01-04,ripple,xrp,10455111151.166016,3924193.072903833
3,2021-01-04,solana,sol,99775343.80647424,7470170.4619274745
4,2021-01-05,bitcoin,btc,585726270248.7891,9748728453.87904
4,2021-01-05,bitcoin_cash,bch,0.0,0.0
4,2021-01-05,cardano,ada,6776976218.184067,235814375.076678
4,2021-01-05,ethereum,eth,116693162132.74934,8007088840.850009
4,2021-01-05,litecoin,ltc,10098767862.758522,488836059.1780632
4,2021-01-05,ripple,xrp,10578255930.15237,13383217.650250353
4,2021-01-05,solana,sol,111799126.97201678,9021699.328732705
5,2021-01-06,bitcoin,btc,633651671519.3958,13099262590.4598
5,2021-01-06,bitcoin_cash,bch,0.0,0.0
5,2021-01-06,cardano,ada,8086992388.5403805,390814756.98662734
5,2021-01-06,ethereum,eth,125112930227.72488,8526170511.624606
5,2021-01-06,litecoin,ltc,10535698659.89438,437794724.24905556
5,2021-01-06,ripple,xrp,10299283152.408031,2046646.3089412292
5,2021-01-06,solana,sol,100329573.08891997,5398884.487540521
6,2021-01-07,bitcoin,btc,682743683563.0741,17810136235.163166
6,2021-01-07,bitcoin_cash,bch,0.0,0.0
6,2021-01-07,cardano,ada,10274502269.983538,580444899.8182316
6,2021-01-07,ethereum,eth,137306782958.13136,9125063049.533484
6,2021-01-07,litecoin,ltc,11185244669.38366,451371928.3198777
6,2021-01-07,ripple,xrp,11458017061.61058,52606813.91954672
6,2021-01-07,solana,sol,89806036.82660183,1778447.180739877
7,2021-01-08,bitcoin,btc,735339707368.3339,22239127237.461426
7,2021-01-08,bitcoin_cash,bch,0.0,0.0
7,2021-01-08,cardano,ada,9271209679.66398,569201721.853396
7,2021-01-08,ethereum,eth,139084939665.71393,8687367337.716215
7,2021-01-08,litecoin,ltc,11282929355.746391,421084156.30716044
7,2021-01-08,ripple,xrp,14783360785.307053,219072473.88095573
7,2021-01-08,solana,sol,617487734.823374,17460499.045375183
8,2021-01-09,bitcoin,btc,758971014787.3597,24847218762.693836
8,2021-01-09,bitcoin_cash,bch,0.0,0.0
8,2021-01-09,cardano,ada,9486227623.151382,534943794.80120564
8,2021-01-09,ethereum,eth,139145700786.27826,7746725196.365501
8,2021-01-09,litecoin,ltc,11467769477.442598,388211688.6251424
8,2021-01-09,ripple,xrp,14620012702.672577,352290668.7001659
8,2021-01-09,solana,sol,832993617.4072843,43287834.52461958
9,2021-01-10,bitcoin,btc,749347201462.6359,24233182417.43319
9,2021-01-10,bitcoin_cash,bch,0.0,0.0
9,2021-01-10,cardano,ada,10474851603.194077,550389407.5939754
9,2021-01-10,ethereum,eth,147397891905.5662,7370910631.17944
9,2021-01-10,litecoin,ltc,11784199681.35584,368604335.3731748
9,2021-01-10,ripple,xrp,14981088874.901352,433869163.1853464
9,2021-01-10,solana,sol,895647361.5109031,62792974.45618641
10,2021-01-11,bitcoin,btc,714078952009.0243,19918083743.5373
10,2021-01-11,bitcoin_cash,bch,0.0,0.0
10,2021-01-11,cardano,ada,9547696166.484123,464293008.93113077
10,2021-01-11,ethereum,eth,144775179901.584,6550743069.562162
10,2021-01-11,litecoin,ltc,11352969472.472836,304162729.3350898
10,2021-01-11,ripple,xrp,14491113587.04244,433513928.20811456
10,2021-01-11,solana,sol,912330458.1173432,73220687.47432832
11,2021-01-12,bitcoin,btc,663380898829.0051,12775610764.538204
11,2021-01-12,bitcoin_cash,bch,0.0,0.0
11,2021-01-12,cardano,ada,8567295374.420918,323455246.2845379
11,2021-01-12,ethereum,eth,124728988376.03725,4274712215.526226
11,2021-01-12,litecoin,ltc,9256128287.148792,101304145.44117618
11,2021-01-12,ripple,xrp,13238979457.402128,336652375.0737261
11,2021-01-12,solana,sol,817258464.2688268,71945944.7932648
12,2021-01-13,bitcoin,btc,629751630408.4126,6698445495.062974
12,2021-01-13,bitcoin_cash,bch,0.0,0.0
12,2021-01-13,cardano,ada,8919293654.92031,252640545.1148759
12,2021-01-13,ethereum,eth,119330774034.78914,2586744260.804058
12,2021-01-13,litecoin,ltc,8778885032.092112,21621301.75840633
12,2021-01-13,ripple,xrp,13344731547.471989,272249096.9783599
12,2021-01-13,solana,sol,938493137.5207736,73372080.68034293
13,2021-01-14,bitcoin,btc,696668634091.3435,5905215427.88676
13,2021-01-14,bitcoin_cash,bch,0.0,0.0
13,2021-01-14,cardano,ada,9668965191.987007,232875614.5338087
13,2021-01-14,ethereum,eth,128582223216.0304,1994487559.5956109
13,2021-01-14,litecoin,ltc,9776750028.990845,9952568.296448294
13,2021-01-14,ripple,xrp,13957393308.172102,248752946.6980476
13,2021-01-14,solana,sol,921726565.2583522,71003892.3686096
14,2021-01-15,bitcoin,btc,729751433670.0881,6149958815.173856
14,2021-01-15,bitcoin_cash,bch,0.0,0.0
14,2021-01-15,cardano,ada,9607023622.828886,210084574.68462265
14,2021-01-15,ethereum,eth,138240285220.32953,1874689206.0124505
14,2021-01-15,litecoin,ltc,10089394739.03153,6336857.129609213
14,2021-01-15,ripple,xrp,13478198579.22908,207698052.6297913
14,2021-01-15,solana,sol,859145982.5611855,64744526.710210815
15,2021-01-16,bitcoin,btc,684304915288.2261,4912644915.381913
15,2021-01-16,bitcoin_cash,bch,0.0,0.0
15,2021-01-16,cardano,ada,9452716399.649153,183803393.75246626
15,2021-01-16,ethereum,eth,133962341262.37856,1620449058.7450147
15,2021-01-16,litecoin,ltc,9537424849.722498,2110783.8144892813
15,2021-01-16,ripple,xrp,12758648527.012669,151625713.25509787
15,2021-01-16,solana,sol,854734765.1596448,58520485.74059731
16,2021-01-17,bitcoin,btc,674660879866.02,3757251480.6418138
16,2021-01-17,bitcoin_cash,bch,0.0,0.0
16,2021-01-17,cardano,ada,10974418960.154127,199340716.9824814
16,2021-01-17,ethereum,eth,141369013157.282,1584854842.569471
16,2021-01-17,litecoin,ltc,9564493948.54912,616134.9219934713
16,2021-01-17,ripple,xrp,12752821363.443005,113006525.43327205
16,2021-01-17,solana,sol,904006570.0309956,54292458.717319794
17,2021-01-18,bitcoin,btc,672291934493.4396,2880888326.727577
17,2021-01-18,bitcoin_cash,bch,0.0,0.0
17,2021-01-18,cardano,ada,11944120204.049416,224099537.62310833
17,2021-01-18,ethereum,eth,142087383372.707,1539310960.6596997
17,2021-01-18,litecoin,ltc,9516266561.26863,112193.37354210715
17,2021-01-18,ripple,xrp,12608874407.39614,82923003.66291381
17,2021-01-18,solana,sol,1017470477.7839756,53008927.35281556
18,2021-01-19,bitcoin,btc,682647247200.097,2405819589.8801484
18,2021-01-19,bitcoin_cash,bch,0.0,0.0
18,2021-01-19,cardano,ada,11556220463.724558,232674371.99172276
18,2021-01-19,ethereum,eth,143378258827.21744,1500115709.543537
18,2021-01-19,litecoin,ltc,10083146649.993534,97360.48109708085
18,2021-01-19,ripple,xrp,12954366484.188166,67541821.49986349
18,2021-01-19,solana,sol,987108914.5515286,50282724.45882712
19,2021-01-20,bitcoin,btc,671734819189.1033,1886244558.7504952
19,2021-01-20,bitcoin_cash,bch,0.0,0.0
19,2021-01-20,cardano,ada,11583747204.108196,235575962.94631946
19,2021-01-20,ethereum,eth,157929393133.71045,1675766117.9194732
19,2021-01-20,litecoin,ltc,10174714752.65026,111601.98896050992
19,2021-01-20,ripple,xrp,13433997245.77599,62191519.29214463
19,2021-01-20,solana,sol,953132372.6214266,46577885.20719505
20,2021-01-21,bitcoin,btc,662434464441.264,726932479.1103315
20,2021-01-21,bitcoin_cash,bch,0.0,0.0
20,2021-01-21,cardano,ada,11629239817.496456,219805815.82332164
20,2021-01-21,ethereum,eth,156457140894.28006,1455515798.5875902
20,2021-01-21,litecoin,ltc,9939300725.297943,-128491.9024461444
20,2021-01-21,ripple,xrp,13484155008.268003,42000898.19826248
20,2021-01-21,solana,sol,973442831.7891594,42067341.44823962
21,2021-01-22,bitcoin,btc,575205510268.1292,4716537.376534925
21,2021-01-22,bitcoin_cash,bch,0.0,0.0
21,2021-01-22,cardano,ada,9813434945.822624,152369987.87166336
21,2021-01-22,ethereum,eth,130713677392.4996,739883939.5407323
21,2021-01-22,litecoin,ltc,8633410602.199905,-11172430.385300862
21,2021-01-22,ripple,xrp,12251471331.286976,18522442.221909165
21,2021-01-22,solana,sol,786986237.3494189,31895984.413722586
22,2021-01-23,bitcoin,btc,613271077002.4795,-25579441.581334557
22,2021-01-23,bitcoin_cash,bch,0.0,0.0
22,2021-01-23,cardano,ada,10808585450.780878,112499284.12117186
22,2021-01-23,ethereum,eth,140271927461.8329,361590194.69974035
22,2021-01-23,litecoin,ltc,9151084592.531635,-35507567.997260846
22,2021-01-23,ripple,xrp,12348108563.326498,3466981.791509246
22,2021-01-23,solana,sol,870802220.8670269,23697424.554742496
23,2021-01-24,bitcoin,btc,596744391345.3533,-423457101.4929983
23,2021-01-24,bitcoin_cash,bch,0.0,0.0
23,2021-01-24,cardano,ada,10775451797.658688,79050136.0377867
23,2021-01-24,ethereum,eth,140773242456.76056,182364208.95236182
23,2021-01-24,litecoin,ltc,9138226063.30754,-42800331.749155685
23,2021-01-24,ripple,xrp,12353173876.273672,27505.71224984631
23,2021-01-24,solana,sol,910358037.3778708,16488468.888858594
24,2021-01-25,bitcoin,btc,600595408892.1986,-2271411209.988843
24,2021-01-25,bitcoin_cash,bch,0.0,0.0
24,2021-01-25,cardano,ada,10907245699.203642,51443884.54479341
24,2021-01-25,ethereum,eth,158167202909.14236,170299220.81131098
24,2021-01-25,litecoin,ltc,9404888749.824127,-53752179.579362564
24,2021-01-25,ripple,xrp,12456245392.6549,-1175584.9026930926
24,2021-01-25,solana,sol,946423915.3825784,10326626.224410716
25,2021-01-26,bitcoin,btc,602517850752.0305,-4510847750.074683
25,2021-01-26,bitcoin_cash,bch,0.0,0.0
25,2021-01-26,cardano,ada,10718641448.677244,31766789.379534245
25,2021-01-26,ethereum,eth,151940348541.692,148154746.6394799
25,2021-01-26,litecoin,ltc,9114575939.485142,-59889898.96307359
25,2021-01-26,ripple,xrp,12239551031.522264,-29056131.001978688
25,2021-01-26,solana,sol,970376773.8007468,5234782.8806751575
26,2021-01-27,bitcoin,btc,606573549809.8268,-5600213448.403988
26,2021-01-27,bitcoin_cash,bch,0.0,0.0
26,2021-01-27,cardano,ada,10707255441.64569,37194894.63649049
26,2021-01-27,ethereum,eth,155446593758.92108,234887658.36265033
26,2021-01-27,litecoin,ltc,8954961889.962664,-54879309.545977086
26,2021-01-27,ripple,xrp,12218188875.589691,-100665196.91824596
26,2021-01-27,solana,sol,1054703273.4109548,2812545.630014523
27,2021-01-28,bitcoin,btc,566661443732.4073,-5947232705.977218
27,2021-01-28,bitcoin_cash,bch,0.0,0.0
27,2021-01-28,cardano,ada,9653513519.30118,15728569.655449731
27,2021-01-28,ethereum,eth,141774137750.6659,206514394.55233547
27,2021-01-28,litecoin,ltc,8150039364.104642,-56209908.12280738
27,2021-01-28,ripple,xrp,11407608804.15268,-102115782.78303832
27,2021-01-28,solana,sol,965216149.5931334,1188665.9917565512
28,2021-01-29,bitcoin,btc,616625386428.2396,-4740363579.738549
28,2021-01-29,bitcoin_cash,bch,0.0,0.0
28,2021-01-29,cardano,ada,10775736944.967438,12007840.58136687
28,2021-01-29,ethereum,eth,152877389472.9714,284823909.1795088
28,2021-01-29,litecoin,ltc,8866532404.29447,-42273636.82381724
28,2021-01-29,ripple,xrp,12118698621.825148,-89406769.30378264
28,2021-01-29,solana,sol,994404569.1401207,1054318.8599839525
29,2021-01-30,bitcoin,btc,635688668063.594,-3158420146.2423434
29,2021-01-30,bitcoin_cash,bch,0.0,0.0
29,2021-01-30,cardano,ada,10870768823.23515,16451117.316029834
29,2021-01-30,ethereum,eth,158354114909.26474,575402254.5467399
29,2021-01-30,litecoin,ltc,8940137524.728409,-25152684.71378878
29,2021-01-30,ripple,xrp,12853353143.140348,-54679600.27400865
29,2021-01-30,solana,sol,1011832935.6122584,1470589.1765046292
30,2021-01-31,bitcoin,btc,636624676861.2642,-2069571569.2066364
30,2021-01-31,bitcoin_cash,bch,0.0,0.0
30,2021-01-31,cardano,ada,11492910452.930857,17222182.142026346
30,2021-01-31,ethereum,eth,157410718624.21973,873663197.7936795
30,2021-01-31,litecoin,ltc,8828348697.121115,-13592973.730915692
30,2021-01-31,ripple,xrp,19215011544.534508,190096.26381560828
30,2021-01-31,solana,sol,1099976702.0181136,2840974.836263608
31,2021-02-01,bitcoin,btc,615013848827.3505,-2086176684.4652286
31,2021-02-01,bitcoin_cash,bch,0.0,0.0
31,2021-02-01,cardano,ada,11024882710.653038,7325156.561365229
31,2021-02-01,ethereum,eth,150322722005.1637,651200359.3615966
31,2021-02-01,litecoin,ltc,8611596821.687353,-22511817.842360366
31,2021-02-01,ripple,xrp,22460670801.01922,21030501.92056311
31,2021-02-01,solana,sol,1108554251.4633815,3096684.4781841915
32,2021-02-02,bitcoin,btc,621908231690.1377,-2594542258.21343
32,2021-02-02,bitcoin_cash,bch,0.0,0.0
32,2021-02-02,cardano,ada,12802876639.677765,8348113.887957725
32,2021-02-02,ethereum,eth,155894407853.50046,467126057.3273238
32,2021-02-02,litecoin,ltc,8770352764.869314,-43798178.80853638
32,2021-02-02,ripple,xrp,16887446178.179226,40782624.771096826
32,2021-02-02,solana,sol,1181003688.1507916,5535357.442387058
