,Date,ID,Symbol,market_cap,simp_move_avg_market_cap,simp_move_std_market_cap
0,2021-01-01,bitcoin,btc,539438036435.6701,539438036435.6701,
0,2021-01-01,bitcoin_cash,bch,0.0,0.0,
0,2021-01-01,cardano,ada,5664962992.375575,5664962992.375575,
0,2021-01-01,ethereum,eth,84037694047.35515,84037694047.35515,
0,2021-01-01,litecoin,ltc,8232940083.327155,8232940083.327155,
0,2021-01-01,ripple,xrp,9986921049.346115,9986921049.346115,
0,2021-01-01,solana,sol,69766796.8517985,69766796.8517985,
1,2021-01-02,bitcoin,btc,545593282215.2498,542515659325.45996,4352416030.610691
1,2021-01-02,bitcoin_cash,bch,0.0,0.0,0.0
1,2021-01-02,cardano,ada,5459442449.830887,5562202721.103231,145324969.30648774
1,2021-01-02,ethereum,eth,83294083323.20639,83665888685.28076,525812185.6086205
1,2021-01-02,litecoin,ltc,8330599715.513708,8281769899.420431,69055788.16729598
1,2021-01-02,ripple,xrp,10785755952.896765,10386338501.12144,564861577.3491653
1,2021-01-02,solana,sol,86318139.65505527,78042468.25342688,11703566.733926024
2,2021-01-03,bitcoin,btc,597887713053.5825,560973010568.1675,32116867956.6017
2,2021-01-03,bitcoin_cash,bch,0.0,0.0,0.0
2,2021-01-03,cardano,ada,5541071871.348484,5555159104.518315,103481935.40783677
2,2021-01-03,ethereum,eth,88595346035.55156,85309041135.37103,2870207161.5094576
2,2021-01-03,litecoin,ltc,9119719237.682438,8561086345.507767,486248272.08359474
2,2021-01-03,ripple,xrp,10066602632.99948,10279759878.41412,440012851.2183043
2,2021-01-03,solana,sol,84086466.39653847,80057134.30113076,8981279.140470028
3,2021-01-04,bitcoin,btc,613616917625.6967,574133987332.5498,37155179663.11428
3,2021-01-04,bitcoin_cash,bch,0.0,0.0,0.0
3,2021-01-04,cardano,ada,6478554204.432761,5786007879.496927,469365140.31224847
3,2021-01-04,ethereum,eth,112525376104.65454,92113124877.69191,13808485859.187502
3,2021-01-04,litecoin,ltc,10564161142.548117,9061855044.767855,1077358845.5279949
3,2021-01-04,ripple,xrp,10455111151.166016,10323597696.602093,369812416.4655669
3,2021-01-04,solana,sol,99775343.80647424,84986686.67746662,12287291.396269942
4,2021-01-05,bitcoin,btc,585726270248.7891,576452443915.7976,32592280320.510754
4,2021-01-05,bitcoin_cash,bch,0.0,0.0,0.0
4,2021-01-05,cardano,ada,6776976218.184067,5984201547.234355,601357943.2096348
4,2021-01-05,ethereum,eth,116693162132.74934,97029132328.7034,16243194192.785425
4,2021-01-05,litecoin,ltc,10098767862.758522,9269237608.365988,1041904122.2448109
4,2021-01-05,ripple,xrp,10578255930.15237,10374529343.31215,339913342.9450305
4,2021-01-05,solana,sol,111799126.97201678,90349174.73637666,16031672.9726626
5,2021-01-06,bitcoin,btc,633651671519.3958,585985648516.3973,37351001712.59095
5,2021-01-06,bitcoin_cash,bch,0.0,0.0,0.0
5,2021-01-06,cardano,ada,8086992388.5403805,6334666687.452026,1013044909.0419476
5,2021-01-06,ethereum,eth,125112930227.72488,101709765311.87364,18507377901.97406
5,2021-01-06,litecoin,ltc,10535698659.89438,9480314450.287386,1065726024.4235623
5,2021-01-06,ripple,xrp,10299283152.408031,10361988311.494797,305575734.38333726
5,2021-01-06,solana,sol,100329573.08891997,92012574.46180053,14906811.279450813
6,2021-01-07,bitcoin,btc,682743683563.0741,599808224951.6368,50000264425.31332
6,2021-01-07,bitcoin_cash,bch,0.0,0.0,0.0
6,2021-01-07,cardano,ada,10274502269.983538,6897500342.099385,1752908644.531261
6,2021-01-07,ethereum,eth,137306782958.13136,106795053547.05333,21597614661.100792
6,2021-01-07,litecoin,ltc,11185244669.38366,9723875910.158283,1166932699.7528484
6,2021-01-07,ripple,xrp,11458017061.61058,10518563847.225622,499424732.3294707
6,2021-01-07,solana,sol,89806036.82660183,91697354.7996293,13633527.159747416
7,2021-01-08,bitcoin,btc,735339707368.3339,627794177942.0175,63563467975.93077
7,2021-01-08,bitcoin_cash,bch,0.0,0.0,0.0
7,2021-01-08,cardano,ada,9271209679.66398,7412678440.2834425,1857131331.169657
7,2021-01-08,ethereum,eth,139084939665.71393,114658945778.24744,21949166579.800922
7,2021-01-08,litecoin,ltc,11282929355.746391,10159588663.361032,1083914998.0404165
7,2021-01-08,ripple,xrp,14783360785.307053,11203769523.791471,1638894520.8950732
7,2021-01-08,solana,sol,617487734.823374,169943203.08128294,197582439.88999262
8,2021-01-09,bitcoin,btc,758971014787.3597,658276711166.6045,68541919303.33983
8,2021-01-09,bitcoin_cash,bch,0.0,0.0,0.0
8,2021-01-09,cardano,ada,9486227623.151382,7987933465.043513,1773023202.614818
8,2021-01-09,ethereum,eth,139145700786.27826,122637748272.972,18532912302.79266
8,2021-01-09,litecoin,ltc,11467769477.442598,10607755772.208014,817454433.6617321
8,2021-01-09,ripple,xrp,14620012702.672577,11751520488.045156,2062022299.5736084
8,2021-01-09,solana,sol,832993617.4072843,276611128.4744585,312844290.3075874
9,2021-01-10,bitcoin,btc,749347201462.6359,679913780939.3264,70187643501.7005
9,2021-01-10,bitcoin_cash,bch,0.0,0.0,0.0
9,2021-01-10,cardano,ada,10474851603.194077,8692759141.021456,1611512912.0695446
9,2021-01-10,ethereum,eth,147397891905.5662,131038111968.68837,13044985125.890476
9,2021-01-10,litecoin,ltc,11784199681.35584,10988395835.589931,600687112.8143928
9,2021-01-10,ripple,xrp,14981088874.901352,12453589951.173996,2223078528.128508
9,2021-01-10,solana,sol,895647361.5109031,392548399.205082,374005181.99636865
10,2021-01-11,bitcoin,btc,714078952009.0243,694265500136.9446,64404986509.114655
10,2021-01-11,bitcoin_cash,bch,0.0,0.0,0.0
10,2021-01-11,cardano,ada,9547696166.484123,9131207992.743078,1295144473.3994172
10,2021-01-11,ethereum,eth,144775179901.584,135645226796.82115,10942553926.091496
10,2021-01-11,litecoin,ltc,11352969472.472836,11101082739.86489,581521071.2966433
10,2021-01-11,ripple,xrp,14491113587.04244,13030161727.727772,2140210613.1316724
10,2021-01-11,solana,sol,912330458.1173432,508627701.2494919,393576708.579711
11,2021-01-12,bitcoin,btc,663380898829.0051,705359018505.5469,46903526605.34588
11,2021-01-12,bitcoin_cash,bch,0.0,0.0,0.0
11,2021-01-12,cardano,ada,8567295374.420918,9386967872.205486,854604550.1696117
11,2021-01-12,ethereum,eth,124728988376.03725,136793201974.4337,8843033941.299595
11,2021-01-12,litecoin,ltc,9256128287.148792,10980705657.634928,849194507.0101025
11,2021-01-12,ripple,xrp,13238979457.402128,13410265088.763454,1848577004.9742255
11,2021-01-12,solana,sol,817258464.2688268,609407606.5776075,364257156.99027526
12,2021-01-13,bitcoin,btc,629751630408.4126,704801869775.4065,47909646676.90677
12,2021-01-13,bitcoin_cash,bch,0.0,0.0,0.0
12,2021-01-13,cardano,ada,8919293654.92031,9505868053.116903,684582082.6437625
12,2021-01-13,ethereum,eth,119330774034.78914,135967179661.15718,10270726582.200817
12,2021-01-13,litecoin,ltc,8778885032.092112,10729732282.234604,1192745939.5114055
12,2021-01-13,ripple,xrp,13344731547.471989,13845329145.20116,1258606541.9206767
12,2021-01-13,solana,sol,938493137.5207736,729145258.6393011,301351611.8419739
13,2021-01-14,bitcoin,btc,696668634091.3435,706791148422.3021,47123756933.57135
13,2021-01-14,bitcoin_cash,bch,0.0,0.0,0.0
13,2021-01-14,cardano,ada,9668965191.987007,9419362756.260256,604887829.8137684
13,2021-01-14,ethereum,eth,128582223216.0304,134720813983.71416,10604998821.685917
13,2021-01-14,litecoin,ltc,9776750028.990845,10528518762.178488,1221551795.3886487
13,2021-01-14,ripple,xrp,13957393308.172102,14202382894.70995,698263357.2048538
13,2021-01-14,solana,sol,921726565.2583522,847991048.4152652,111309950.61632964
14,2021-01-15,bitcoin,btc,729751433670.0881,705992823608.267,46603976991.25689
14,2021-01-15,bitcoin_cash,bch,0.0,0.0,0.0
14,2021-01-15,cardano,ada,9607023622.828886,9467336176.712385,604496049.5029545
14,2021-01-15,ethereum,eth,138240285220.32953,134600149062.94496,10551738914.377268
14,2021-01-15,litecoin,ltc,10089394739.03153,10358013816.933506,1181335666.5550036
14,2021-01-15,ripple,xrp,13478198579.22908,14015931150.984526,691494533.6428938
14,2021-01-15,solana,sol,859145982.5611855,882513655.2349527,46528509.082836054
15,2021-01-16,bitcoin,btc,684304915288.2261,695326237965.5338,40617788201.27795
15,2021-01-16,bitcoin_cash,bch,0.0,0.0,0.0
15,2021-01-16,cardano,ada,9452716399.649153,9462548859.06921,604454198.0786434
15,2021-01-16,ethereum,eth,133962341262.37856,133859669130.95927,10359711621.76142
15,2021-01-16,litecoin,ltc,9537424849.722498,10082250298.687778,1101726958.2765176
15,2021-01-16,ripple,xrp,12758648527.012669,13750021983.03311,773507101.5182956
15,2021-01-16,solana,sol,854734765.1596448,885619533.4852899,43284562.63351912
16,2021-01-17,bitcoin,btc,674660879866.02,684656763451.7313,33193264963.454014
16,2021-01-17,bitcoin_cash,bch,0.0,0.0,0.0
16,2021-01-17,cardano,ada,10974418960.154127,9533915624.349218,754710884.5926187
16,2021-01-17,ethereum,eth,141369013157.282,132998400738.34727,9236305524.201292
